--- New simulation start ---
It: 260 | Pl: 69, Herb: 0, Pred: 4, Apex: 0
It: 280 | Pl: 75, Herb: 0, Pred: 4, Apex: 0
It: 300 | Pl: 83, Herb: 0, Pred: 4, Apex: 0
It: 320 | Pl: 90, Herb: 0, Pred: 4, Apex: 0
It: 340 | Pl: 100, Herb: 0, Pred: 4, Apex: 0
It: 360 | Pl: 107, Herb: 0, Pred: 4, Apex: 0
It: 380 | Pl: 113, Herb: 0, Pred: 3, Apex: 0
It: 400 | Pl: 120, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 67, Herb: 39, Pred: 5, Apex: 0
It: 40 | Pl: 40, Herb: 59, Pred: 4, Apex: 0
It: 60 | Pl: 27, Herb: 54, Pred: 3, Apex: 0
It: 80 | Pl: 13, Herb: 45, Pred: 3, Apex: 0
It: 100 | Pl: 10, Herb: 29, Pred: 3, Apex: 0
It: 120 | Pl: 16, Herb: 17, Pred: 3, Apex: 0
It: 140 | Pl: 23, Herb: 9, Pred: 3, Apex: 0
It: 160 | Pl: 28, Herb: 6, Pred: 3, Apex: 0
It: 180 | Pl: 30, Herb: 8, Pred: 3, Apex: 0
It: 200 | Pl: 32, Herb: 5, Pred: 3, Apex: 0
It: 220 | Pl: 41, Herb: 3, Pred: 2, Apex: 0
It: 240 | Pl: 49, Herb: 2, Pred: 2, Apex: 0
It: 260 | Pl: 53, Herb: 1, Pred: 2, Apex: 0
It: 280 | Pl: 58, Herb: 1, Pred: 2, Apex: 0
It: 300 | Pl: 64, Herb: 4, Pred: 2, Apex: 0
It: 320 | Pl: 71, Herb: 4, Pred: 2, Apex: 0
It: 340 | Pl: 77, Herb: 2, Pred: 2, Apex: 0
It: 360 | Pl: 81, Herb: 0, Pred: 2, Apex: 0
It: 380 | Pl: 88, Herb: 0, Pred: 2, Apex: 0
It: 400 | Pl: 94, Herb: 0, Pred: 1, Apex: 0
It: 20 | Pl: 65, Herb: 36, Pred: 4, Apex: 1
It: 40 | Pl: 42, Herb: 48, Pred: 4, Apex: 0
It: 60 | Pl: 31, Herb: 50, Pred: 3, Apex: 0
It: 80 | Pl: 25, Herb: 39, Pred: 3, Apex: 0
It: 100 | Pl: 21, Herb: 23, Pred: 3, Apex: 0
It: 120 | Pl: 25, Herb: 15, Pred: 3, Apex: 0
It: 140 | Pl: 27, Herb: 10, Pred: 3, Apex: 0
It: 160 | Pl: 26, Herb: 13, Pred: 3, Apex: 0
It: 180 | Pl: 21, Herb: 19, Pred: 3, Apex: 0
It: 200 | Pl: 22, Herb: 9, Pred: 3, Apex: 0
It: 220 | Pl: 25, Herb: 6, Pred: 3, Apex: 0
It: 240 | Pl: 25, Herb: 5, Pred: 3, Apex: 0
